Basic gauge opt: block took 27.875412404002418 seconds
         14211123 function calls (14072031 primitive calls) in 29.074 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1287/1    0.059    0.000   29.076   29.076 {built-in method builtins.exec}
        1    0.000    0.000   29.076   29.076 profile_gauge_opt.py:2(<module>)
        1    0.000    0.000   27.875   27.875 gaugeopt.py:16(gaugeopt_to_target)
        1    0.000    0.000   27.875   27.875 gaugeopt.py:213(gaugeopt_custom)
        1    0.000    0.000   27.873   27.873 optimize.py:23(minimize)
        1    0.000    0.000   27.873   27.873 _minimize.py:36(minimize)
        1    0.003    0.003   27.873   27.873 lbfgsb.py:205(_minimize_lbfgsb)
       35    0.000    0.000   27.870    0.796 lbfgsb.py:272(func_and_grad)
       35    0.117    0.003   27.761    0.793 optimize.py:616(_approx_fprime_helper)
     8995    0.023    0.000   27.752    0.003 optimize.py:290(function_wrapper)
     8995    0.044    0.000   27.729    0.003 gaugeopt.py:287(call_objective_fn)
     8996    0.249    0.000   11.167    0.001 gateset.py:951(transform)
     8996    0.157    0.000    8.908    0.001 gateset.py:2585(copy)
     8995    0.039    0.000    7.506    0.001 gaugeopt.py:132(objective_fn)
     8995    0.051    0.000    7.466    0.001 gateset.py:2422(frobeniusdist)
    44980    0.191    0.000    6.343    0.000 spamvec.py:485(transform)
     8995    0.627    0.000    6.276    0.001 gatecalc.py:1581(frobeniusdist)
    98986    0.784    0.000    6.226    0.000 spamvec.py:228(convert_to_vector)
    89992    1.046    0.000    5.401    0.000 gate.py:486(convert_to_matrix)
    89950    2.459    0.000    5.396    0.000 gatetools.py:89(frobeniusdist2)
    44980    0.226    0.000    4.560    0.000 gate.py:875(transform)
     8996    0.044    0.000    3.711    0.000 labeldicts.py:172(copy)
    54006    0.106    0.000    3.426    0.000 spamvec.py:451(__init__)
    17992    0.091    0.000    3.401    0.000 labeldicts.py:85(copy)
    44980    0.085    0.000    3.275    0.000 spamvec.py:604(copy)
    44980    0.262    0.000    3.261    0.000 spamvec.py:464(set_vector)
     8996    0.077    0.000    3.140    0.000 labeldicts.py:188(<listcomp>)
    44980    0.314    0.000    3.085    0.000 gate.py:780(set_matrix)
    44981    0.081    0.000    3.063    0.000 gate.py:863(copy)
    45012    0.109    0.000    2.984    0.000 gate.py:767(__init__)
    44975    0.061    0.000    2.863    0.000 gate.py:398(frobeniusdist2)
    17992    0.067    0.000    2.681    0.000 labeldicts.py:101(<listcomp>)
    44975    0.062    0.000    2.655    0.000 spamvec.py:139(frobeniusdist2)
   179982    0.495    0.000    2.476    0.000 fromnumeric.py:1987(all)
