Basic gauge opt: block took 27.875412404002418 seconds
         14211123 function calls (14072031 primitive calls) in 29.074 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   786810    2.086    0.000    2.433    0.000 {built-in method numpy.core.multiarray.array}
   273702    2.037    0.000    2.037    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   179982    1.321    0.000    1.989    0.000 type_check.py:207(isreal)
   134940    1.169    0.000    1.722    0.000 {built-in method numpy.core.multiarray.dot}
   179995    0.255    0.000    1.697    0.000 {method 'all' of 'numpy.ndarray' objects}
    89950    0.480    0.000    1.689    0.000 matrixtools.py:128(frobeniusnorm2)
       46    0.001    0.000    1.621    0.035 __init__.py:1(<module>)
   108009    0.155    0.000    1.544    0.000 numeric.py:414(asarray)
        3    0.000    0.000    1.503    0.501 __init__.py:6(<module>)
   179995    0.133    0.000    1.442    0.000 _methods.py:40(_all)
    89992    1.261    0.000    1.427    0.000 gate.py:509(<listcomp>)
    80964    0.100    0.000    1.343    0.000 gaugegroup.py:53(get_transform_matrix)
    89990    1.163    0.000    1.330    0.000 spamvec.py:250(<listcomp>)
    89990    1.109    0.000    1.272    0.000 spamvec.py:255(<listcomp>)
    89950    0.367    0.000    1.209    0.000 fromnumeric.py:1743(sum)
   368806    0.622    0.000    1.191    0.000 spamvec.py:197(__getattr__)
    53994    0.351    0.000    1.188    0.000 labeldicts.py:16(__init__)
   1112/2    0.006    0.000    1.178    0.589 <frozen importlib._bootstrap>:966(_find_and_load)
   1112/2    0.005    0.000    1.178    0.589 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
    999/2    0.005    0.000    1.177    0.589 <frozen importlib._bootstrap>:659(_load_unlocked)
    889/2    0.003    0.000    1.177    0.589 <frozen importlib._bootstrap_external>:659(exec_module)
   1324/2    0.001    0.000    1.177    0.588 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
  4204/33    0.004    0.000    1.175    0.036 <frozen importlib._bootstrap>:996(_handle_fromlist)
    577/3    0.002    0.000    1.175    0.392 {built-in method builtins.__import__}
    17990    0.074    0.000    1.139    0.000 gateset.py:975(_calc)
    17990    0.049    0.000    1.050    0.000 gatematrixcalc.py:43(__init__)
    53976    0.060    0.000    1.010    0.000 gaugegroup.py:56(get_transform_matrix_inverse)
    17990    0.490    0.000    1.001    0.000 gatecalc.py:33(__init__)
   359810    0.662    0.000    0.958    0.000 gate.py:454(__getattr__)
   752600    0.876    0.000    0.876    0.000 {built-in method builtins.getattr}
     8996    0.613    0.000    0.816    0.000 linalg.py:458(inv)
    89950    0.073    0.000    0.791    0.000 _methods.py:31(_sum)
        1    0.000    0.000    0.750    0.750 factory.py:1(<module>)
    35996    0.093    0.000    0.746    0.000 labeldicts.py:35(__init__)
        1    0.000    0.000    0.742    0.742 workspace.py:1(<module>)
        2    0.000    0.000    0.739    0.370 __init__.py:27(<module>)
        4    0.000    0.000    0.739    0.185 __init__.py:9(<module>)
        1    0.000    0.000    0.737    0.737 plotly_plot_ex.py:1(<module>)
        1    0.000    0.000    0.734    0.734 plotly.py:16(<module>)
4966843/4920732    0.673    0.000    0.709    0.000 {built-in method builtins.len}
   179982    0.333    0.000    0.667    0.000 type_check.py:141(imag)
   363741    0.495    0.000    0.625    0.000 numeric.py:484(asanyarray)
  117/106    0.000    0.000    0.613    0.006 <frozen importlib._bootstrap>:972(_gcd_import)
        1    0.000    0.000    0.612    0.612 tools.py:9(<module>)
       11    0.000    0.000    0.604    0.055 optional_imports.py:12(get_module)
       10    0.000    0.000    0.604    0.060 __init__.py:108(import_module)
    17998    0.037    0.000    0.572    0.000 labeldicts.py:116(__init__)
    36008    0.123    0.000    0.434    0.000 labeldicts.py:60(__setitem__)
        2    0.000    0.000    0.419    0.209 core.py:1(<module>)
        4    0.000    0.000    0.404    0.101 __init__.py:11(<module>)
    45010    0.125    0.000    0.402    0.000 labeldicts.py:146(__setitem__)
     8996    0.039    0.000    0.360    0.000 labeldicts.py:240(copy)
    17998    0.117    0.000    0.334    0.000 labeldicts.py:201(__init__)
     8996    0.117    0.000    0.317    0.000 gateset.py:52(__init__)
     8996    0.034    0.000    0.294    0.000 gateset.py:125(povm_identity)
        1    0.000    0.000    0.281    0.281 embed.py:4(<module>)
        1    0.000    0.000    0.279    0.279 renderer.py:8(<module>)
    81018    0.192    0.000    0.244    0.000 labeldicts.py:21(__setitem__)
    36008    0.174    0.000    0.217    0.000 labeldicts.py:206(__setitem__)
2506/2448    0.048    0.000    0.217    0.000 {built-in method builtins.__build_class__}
593481/593479    0.212    0.000    0.214    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.195    0.097 __init__.py:7(<module>)
      889    0.007    0.000    0.184    0.000 <frozen importlib._bootstrap_external>:729(get_code)
    17990    0.076    0.000    0.174    0.000 gatecalc.py:85(<listcomp>)
    36008    0.078    0.000    0.173    0.000 labeldicts.py:42(_check_dim)
    45012    0.147    0.000    0.166    0.000 gate.py:389(__init__)
    45010    0.114    0.000    0.152    0.000 labeldicts.py:123(_check_dim)
        1    0.000    0.000    0.140    0.140 __init__.py:341(<module>)
1070/1048    0.009    0.000    0.138    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      889    0.002    0.000    0.129    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
        1    0.000    0.000    0.127    0.127 stats.py:161(<module>)
      889    0.125    0.000    0.125    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.124    0.041 __init__.py:41(<module>)
        1    0.000    0.000    0.123    0.123 __init__.py:106(<module>)
        1    0.000    0.000    0.123    0.123 graph_objs.py:24(<module>)
        4    0.000    0.000    0.123    0.031 __init__.py:15(<module>)
        1    0.000    0.000    0.121    0.121 graph_reference.py:4(<module>)
   192503    0.113    0.000    0.118    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.113    0.113 magic.py:3(<module>)
        1    0.000    0.000    0.110    0.110 distributions.py:8(<module>)
    17990    0.080    0.000    0.109    0.000 gatecalc.py:87(<listcomp>)
        5    0.000    0.000    0.109    0.022 __init__.py:10(<module>)
     8996    0.021    0.000    0.106    0.000 gaugegroup.py:64(from_vector)
      981    0.003    0.000    0.106    0.000 re.py:278(_compile)
      358    0.000    0.000    0.103    0.000 re.py:222(compile)
      246    0.001    0.000    0.102    0.000 sre_compile.py:531(compile)
        1    0.000    0.000    0.101    0.101 add_newdocs.py:10(<module>)
    89950    0.099    0.000    0.099    0.000 gate.py:802(num_params)
    35980    0.091    0.000    0.098    0.000 labeldicts.py:51(__getitem__)
     1065    0.001    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
     1065    0.005    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
        1    0.000    0.000    0.096    0.096 oinspect.py:8(<module>)
        1    0.000    0.000    0.095    0.095 interactiveshell.py:1(<module>)
        1    0.001    0.001    0.094    0.094 _continuous_distns.py:5(<module>)
    54006    0.078    0.000    0.093    0.000 spamvec.py:119(__init__)
       94    0.003    0.000    0.089    0.001 _distn_infrastructure.py:1480(__init__)
     1754    0.022    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
     8997    0.062    0.000    0.086    0.000 gate.py:826(from_vector)
        1    0.000    0.000    0.083    0.083 vega_renderer.py:1(<module>)
        1    0.000    0.000    0.083    0.083 exporter.py:6(<module>)
        1    0.000    0.000    0.082    0.082 collections.py:10(<module>)
        1    0.000    0.000    0.082    0.082 type_check.py:3(<module>)
  980/949    0.002    0.000    0.080    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
        1    0.000    0.000    0.078    0.078 plugin.py:37(<module>)
    17990    0.054    0.000    0.072    0.000 gatecalc.py:86(<listcomp>)
   161910    0.069    0.000    0.069    0.000 {built-in method builtins.sum}
    17990    0.050    0.000    0.068    0.000 gatecalc.py:84(<listcomp>)
        4    0.000    0.000    0.067    0.017 base.py:1(<module>)
    35984    0.038    0.000    0.064    0.000 fromnumeric.py:506(transpose)
20745/20477    0.009    0.000    0.064    0.000 {method 'join' of 'str' objects}
  248/246    0.001    0.000    0.062    0.000 sre_parse.py:819(parse)
      107    0.002    0.000    0.060    0.001 _distn_infrastructure.py:702(_construct_doc)
  773/248    0.003    0.000    0.060    0.000 sre_parse.py:429(_parse_sub)
 1089/281    0.021    0.000    0.058    0.000 sre_parse.py:491(_parse)
      273    0.024    0.000    0.058    0.000 doccer.py:12(docformat)
43096/42639    0.023    0.000    0.057    0.000 {built-in method builtins.hasattr}
   102414    0.056    0.000    0.056    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.056    0.014 __init__.py:3(<module>)
      117    0.003    0.000    0.055    0.000 __init__.py:356(namedtuple)
     8996    0.032    0.000    0.053    0.000 linalg.py:139(_commonType)
    86/73    0.000    0.000    0.052    0.001 <frozen importlib._bootstrap_external>:903(create_module)
    86/73    0.032    0.000    0.051    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.051    0.051 interactiveshell.py:92(TerminalInteractiveShell)
        1    0.000    0.000    0.051    0.051 __init__.py:228(<module>)
       27    0.000    0.000    0.051    0.002 __init__.py:71(get_all_styles)
        1    0.000    0.000    0.051    0.051 plugin.py:63(find_plugin_styles)
        1    0.000    0.000    0.051    0.051 __init__.py:698(iter_entry_points)
       62    0.000    0.000    0.051    0.001 __init__.py:2571(get_entry_map)
       62    0.000    0.000    0.050    0.001 __init__.py:2299(parse_map)
        1    0.000    0.000    0.050    0.050 ipapp.py:6(<module>)
       21    0.000    0.000    0.048    0.002 __init__.py:2286(parse_group)
        4    0.000    0.000    0.048    0.012 __init__.py:2(<module>)
   152932    0.047    0.000    0.047    0.000 gateset.py:156(dim)
       80    0.000    0.000    0.047    0.001 __init__.py:2257(parse)
       81    0.000    0.000    0.046    0.001 __init__.py:2831(parse)
        1    0.000    0.000    0.046    0.046 connectionpool.py:1(<module>)
      162    0.000    0.000    0.046    0.000 __init__.py:2765(parse_requirements)
74979/10845    0.038    0.000    0.046    0.000 utils.py:355(node_generator)
        1    0.000    0.000    0.046    0.046 graph_reference.py:62(get_graph_reference)
       80    0.000    0.000    0.046    0.001 __init__.py:2196(__init__)
       81    0.001    0.000    0.045    0.001 __init__.py:2785(__init__)
        1    0.000    0.000    0.044    0.044 __init__.py:101(<module>)
    17990    0.036    0.000    0.044    0.000 gatecalc.py:83(<listcomp>)
       81    0.001    0.000    0.044    0.001 requirements.py:88(__init__)
    44980    0.035    0.000    0.043    0.000 spamvec.py:221(__len__)
       83    0.000    0.000    0.043    0.001 pyparsing.py:1096(parseString)
  3854/83    0.010    0.000    0.040    0.000 pyparsing.py:969(_parseNoCache)
        1    0.000    0.000    0.040    0.040 _minimize.py:8(<module>)
   986/83    0.004    0.000    0.040    0.000 pyparsing.py:2392(parseImpl)
     8996    0.025    0.000    0.039    0.000 linalg.py:209(_assertNdSquareness)
        1    0.000    0.000    0.038    0.038 application.py:10(<module>)
        1    0.000    0.000    0.038    0.038 __init__.py:168(<module>)
      246    0.001    0.000    0.038    0.000 sre_compile.py:516(_code)
        1    0.000    0.000    0.037    0.037 lbfgsb.py:9(<module>)
        3    0.000    0.000    0.037    0.012 exceptions.py:1(<module>)
     9005    0.037    0.000    0.037    0.000 {method 'astype' of 'numpy.ndarray' objects}
   4395/1    0.029    0.000    0.036    0.036 utils.py:301(decode_unicode)
        1    0.000    0.000    0.035    0.035 cm.py:6(<module>)
        1    0.000    0.000    0.035    0.035 backend_bases.py:33(<module>)
        1    0.000    0.000    0.034    0.034 confidenceregion.py:1(<module>)
        1    0.000    0.000    0.034    0.034 interface.py:3(<module>)
        1    0.000    0.000    0.033    0.033 gateset.py:1(<module>)
        3    0.000    0.000    0.033    0.011 machar.py:98(__init__)
        3    0.008    0.003    0.033    0.011 machar.py:116(_do_init)
     8996    0.016    0.000    0.032    0.000 linalg.py:106(_makearray)
   114126    0.031    0.000    0.031    0.000 {method 'get' of 'dict' objects}
 2083/246    0.011    0.000    0.031    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.031    0.031 utils.py:9(<module>)
     9750    0.012    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
        2    0.000    0.000    0.030    0.015 __init__.py:45(<module>)
        1    0.000    0.000    0.030    0.030 application.py:1(<module>)
    36008    0.022    0.000    0.029    0.000 compattools.py:22(isstr)
      107    0.002    0.000    0.029    0.000 _distn_infrastructure.py:622(_construct_argparser)
       20    0.000    0.000    0.028    0.001 six.py:80(_import_module)
        9    0.000    0.000    0.028    0.003 six.py:114(_resolve)
        1    0.000    0.000    0.028    0.028 gatematrixcalc.py:1(<module>)
        1    0.000    0.000    0.028    0.028 rcsetup.py:15(<module>)
      102    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
       24    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap>:436(spec_from_loader)
       10    0.000    0.000    0.028    0.003 six.py:209(is_package)
        1    0.000    0.000    0.028    0.028 six.py:117(__getattr__)
        1    0.000    0.000    0.027    0.027 profiler.py:1(<module>)
    35984    0.027    0.000    0.027    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    71960    0.026    0.000    0.026    0.000 spamvec.py:549(num_params)
 1019/698    0.004    0.000    0.026    0.000 inspect.py:2146(_signature_from_callable)
        1    0.000    0.000    0.026    0.026 fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.026    0.026 client.py:69(<module>)
        1    0.000    0.000    0.025    0.025 requirements.py:4(<module>)
        1    0.005    0.005    0.025    0.025 graph_reference.py:436(_get_objects)
        9    0.000    0.000    0.025    0.003 magic_arguments.py:201(__call__)
        9    0.000    0.000    0.025    0.003 magic_arguments.py:139(construct_parser)
      980    0.006    0.000    0.025    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
     5060    0.025    0.000    0.025    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.025    0.025 __init__.py:108(<module>)
        1    0.005    0.005    0.025    0.025 graph_reference.py:518(_get_arrays)
    99133    0.025    0.000    0.025    0.000 {method 'items' of 'collections.OrderedDict' objects}
     4401    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     3757    0.005    0.000    0.024    0.000 fromnumeric.py:1900(any)
        2    0.000    0.000    0.024    0.012 __init__.py:2912(_call_aside)
        1    0.000    0.000    0.024    0.024 __init__.py:2927(_initialize_master_working_set)
     9015    0.024    0.000    0.024    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.024    0.024 parser.py:5(<module>)
        1    0.000    0.000    0.024    0.024 crashhandler.py:8(<module>)
        1    0.004    0.004    0.024    0.024 graph_reference.py:487(_patch_objects)
        1    0.000    0.000    0.024    0.024 feedparser.py:20(<module>)
        2    0.012    0.006    0.024    0.012 {built-in method _pickle.load}
    98949    0.023    0.000    0.023    0.000 {method 'values' of 'collections.OrderedDict' objects}
     8996    0.023    0.000    0.023    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.023    0.023 ultratb.py:81(<module>)
        1    0.000    0.000    0.022    0.022 pyparsing.py:61(<module>)
        1    0.000    0.000    0.022    0.022 message.py:5(<module>)
      889    0.014    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      328    0.002    0.000    0.021    0.000 _util.py:259(getargspec_no_self)
    53974    0.021    0.000    0.021    0.000 gateset.py:121(povm_identity)
  265/172    0.001    0.000    0.021    0.000 pyparsing.py:2521(parseImpl)
        9    0.000    0.000    0.020    0.002 argparse.py:2321(format_help)
        9    0.000    0.000    0.020    0.002 argparse.py:277(format_help)
     45/9    0.000    0.000    0.020    0.002 argparse.py:202(format_help)
        1    0.000    0.000    0.019    0.019 interactiveshell.py:2(<module>)
    45012    0.019    0.000    0.019    0.000 gate.py:315(__init__)
        1    0.000    0.000    0.019    0.019 decomp_schur.py:1(<module>)
       16    0.000    0.000    0.019    0.001 getlimits.py:94(__new__)
        2    0.000    0.000    0.019    0.009 getlimits.py:127(_init)
        2    0.000    0.000    0.018    0.009 utils.py:4(<module>)
        1    0.000    0.000    0.018    0.018 widgets.py:10(<module>)
     1778    0.006    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      116    0.001    0.000    0.017    0.000 decorator.py:202(create)
        1    0.000    0.000    0.017    0.017 decorators.py:15(<module>)
     8996    0.015    0.000    0.017    0.000 linalg.py:198(_assertRankAtLeast2)
      109    0.000    0.000    0.017    0.000 decorator.py:225(decorate)
        1    0.000    0.000    0.017    0.017 tddataset.py:1(<module>)
      698    0.008    0.000    0.016    0.000 inspect.py:2065(_signature_from_function)
      370    0.005    0.000    0.016    0.000 inspect.py:1052(getfullargspec)
       20    0.000    0.000    0.016    0.001 __init__.py:663(add_entry)
        1    0.000    0.000    0.016    0.016 transforms.py:30(<module>)
        1    0.000    0.000    0.016    0.016 inputsplitter.py:15(<module>)
      328    0.000    0.000    0.016    0.000 inspect.py:2985(signature)
     8996    0.016    0.000    0.016    0.000 labeldicts.py:242(<listcomp>)
      328    0.000    0.000    0.016    0.000 inspect.py:2733(from_callable)
        1    0.000    0.000    0.016    0.016 basic.py:2(<module>)
      124    0.001    0.000    0.015    0.000 argparse.py:485(_format_action)
     8996    0.015    0.000    0.015    0.000 linalg.py:101(get_linalg_error_extobj)
    19582    0.007    0.000    0.015    0.000 sre_parse.py:247(get)
     9750    0.010    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
    19/18    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:630(_load_backward_compatible)
      142    0.001    0.000    0.015    0.000 __init__.py:1959(find_on_path)
        1    0.000    0.000    0.015    0.015 _internal_utils.py:9(<module>)
        5    0.000    0.000    0.015    0.003 __init__.py:34(load_module)
      833    0.002    0.000    0.015    0.000 sre_compile.py:221(_compile_charset)
        1    0.000    0.000    0.015    0.015 compat.py:9(<module>)
        5    0.000    0.000    0.014    0.003 artist.py:1476(kwdoc)
        1    0.000    0.000    0.014    0.014 textpath.py:3(<module>)
        1    0.000    0.000    0.014    0.014 inputtransformer.py:5(<module>)
    17992    0.010    0.000    0.014    0.000 linalg.py:111(isComplexType)
        1    0.001    0.001    0.014    0.014 matfuncs.py:3(<module>)
       94    0.000    0.000    0.014    0.000 decorator.py:238(decorator)
     3757    0.002    0.000    0.014    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.014    0.014 __init__.py:157(<module>)
       16    0.000    0.000    0.013    0.001 pyparsing.py:1844(__init__)
     1864    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:406(cached)
    45/27    0.000    0.000    0.013    0.000 argparse.py:209(<listcomp>)
      270    0.008    0.000    0.013    0.000 doccer.py:128(indentcount_lines)
        1    0.000    0.000    0.013    0.013 _discrete_distns.py:5(<module>)
       87    0.000    0.000    0.013    0.000 magic.py:187(magic_deco)
        5    0.000    0.000    0.013    0.003 artist.py:1186(pprint_setters)
      833    0.009    0.000    0.013    0.000 sre_compile.py:248(_optimize_charset)
     1112    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:163(__enter__)
       13    0.000    0.000    0.012    0.001 _distn_infrastructure.py:2649(__init__)
        2    0.000    0.000    0.012    0.006 __init__.py:19(<module>)
        1    0.000    0.000    0.012    0.012 interpolate.py:2(<module>)
      975    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
     3757    0.001    0.000    0.011    0.000 _methods.py:37(_any)
        1    0.000    0.000    0.011    0.011 _common.py:5(<module>)
      120    0.000    0.000    0.011    0.000 argparse.py:614(_split_lines)
        1    0.000    0.000    0.011    0.011 __init__.py:212(<module>)
        1    0.000    0.000    0.011    0.011 _internal.py:6(<module>)
  666/652    0.001    0.000    0.011    0.000 pyparsing.py:2667(parseImpl)
     1591    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
      889    0.009    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
     1758    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
        1    0.000    0.000    0.011    0.011 pyparsing.py:5353(pyparsing_common)
        1    0.000    0.000    0.011    0.011 case.py:1(<module>)
        2    0.000    0.000    0.011    0.005 __init__.py:88(<module>)
  326/245    0.001    0.000    0.011    0.000 pyparsing.py:2859(parseImpl)
      124    0.001    0.000    0.011    0.000 __init__.py:2356(from_location)
        1    0.000    0.000    0.011    0.011 specifiers.py:4(<module>)
        1    0.000    0.000    0.011    0.011 buffer.py:4(<module>)
        1    0.000    0.000    0.011    0.011 misc.py:1(<module>)
        1    0.000    0.000    0.010    0.010 debugger.py:16(<module>)
        1    0.000    0.000    0.010    0.010 universaldetector.py:36(<module>)
    22093    0.010    0.000    0.010    0.000 sre_parse.py:226(__next)
        1    0.000    0.000    0.010    0.010 pyparsing.py:58(<module>)
        5    0.001    0.000    0.010    0.002 artist.py:1103(_get_setters_and_targets)
        1    0.000    0.000    0.010    0.010 tokenize2.py:2(<module>)
     8996    0.007    0.000    0.010    0.000 linalg.py:124(_realType)
27957/27846    0.008    0.000    0.010    0.000 {built-in method builtins.issubclass}
    52/51    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:1043(__import__)
      127    0.002    0.000    0.010    0.000 decorator.py:168(make)
        1    0.000    0.000    0.010    0.010 _tokenize_py3.py:36(<module>)
      120    0.000    0.000    0.010    0.000 textwrap.py:369(wrap)
        1    0.000    0.000    0.010    0.010 _pslinux.py:5(<module>)
        1    0.000    0.000    0.009    0.009 lapack.py:358(<module>)
      120    0.000    0.000    0.009    0.000 textwrap.py:343(wrap)
        1    0.000    0.000    0.009    0.009 utils.py:7(<module>)
2530/2366    0.005    0.000    0.009    0.000 pyparsing.py:286(__init__)
        6    0.000    0.000    0.009    0.001 _tokenize_py3.py:137(_compile)
        1    0.000    0.000    0.009    0.009 specifiers.py:275(Specifier)
     9724    0.009    0.000    0.009    0.000 {built-in method builtins.max}
    25405    0.009    0.000    0.009    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.009    0.009 __init__.py:621(_build_master)
        1    0.000    0.000    0.009    0.009 __init__.py:608(__init__)
     7518    0.009    0.000    0.009    0.000 {method 'splitlines' of 'str' objects}
        1    0.001    0.001    0.009    0.009 dataset.py:702(__setstate__)
       13    0.000    0.000    0.008    0.001 __init__.py:271(loads)
       13    0.000    0.000    0.008    0.001 decoder.py:334(decode)
      163    0.002    0.000    0.008    0.000 abc.py:132(__new__)
       13    0.008    0.001    0.008    0.001 decoder.py:345(raw_decode)
        1    0.000    0.000    0.008    0.008 __init__.py:632(<module>)
        2    0.000    0.000    0.008    0.004 _util.py:1(<module>)
      127    0.002    0.000    0.008    0.000 decorator.py:94(__init__)
        1    0.000    0.000    0.008    0.008 patches.py:3(<module>)
        1    0.000    0.000    0.008    0.008 execution.py:2(<module>)
        1    0.000    0.000    0.008    0.008 basic.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:950(subscribe)
       62    0.000    0.000    0.008    0.000 __init__.py:2952(<lambda>)
      107    0.000    0.000    0.008    0.000 _distn_infrastructure.py:587(__init__)
       62    0.000    0.000    0.008    0.000 __init__.py:2506(activate)
     1740    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        1    0.000    0.000    0.008    0.008 history.py:2(<module>)
    92156    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.008    0.008 history.py:38(HistoryMagics)
     8522    0.008    0.000    0.008    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.007    0.007 __init__.py:47(<module>)
     4008    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x881040}
        1    0.001    0.001    0.007    0.007 dataset.py:703(<listcomp>)
        1    0.000    0.000    0.007    0.007 basic.py:70(BasicMagics)
       13    0.000    0.000    0.007    0.001 _distn_infrastructure.py:2698(_construct_docstrings)
        2    0.000    0.000    0.007    0.004 connection.py:1(<module>)
        1    0.000    0.000    0.007    0.007 main.py:1(<module>)
        1    0.000    0.000    0.007    0.007 inspect.py:27(<module>)
        2    0.000    0.000    0.007    0.003 path.py:4(<module>)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
      536    0.001    0.000    0.007    0.000 copy.py:67(copy)
      889    0.007    0.000    0.007    0.000 {method 'read' of '_io.FileIO' objects}
3316/1467    0.006    0.000    0.007    0.000 sre_parse.py:167(getwidth)
     8680    0.005    0.000    0.007    0.000 sre_parse.py:157(__getitem__)
        1    0.000    0.000    0.007    0.007 containers.py:4(<module>)
        1    0.000    0.000    0.007    0.007 mathtext.py:16(<module>)
     1735    0.002    0.000    0.007    0.000 gatestring.py:306(expand)
        1    0.002    0.002    0.007    0.007 packages.py:1(<module>)
        1    0.000    0.000    0.007    0.007 mstats_basic.py:4(<module>)
        1    0.000    0.000    0.007    0.007 _root.py:7(<module>)
        1    0.000    0.000    0.007    0.007 cookiejar.py:26(<module>)
     1855    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
